userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,0.02,1.81641,-1.571445,0.5923743,-0.6920984,0,0,0,0,0,0,3.407061,298.6121,5.597838,3.407,-61.388,5.598,0,0,0,0,0,0,0,0,0,0,0,0,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,0.4586475,2.414598,-1.079093,0.9308309,-0.7209544,-1.478611,0.7457279,-0.7901211,-1.524194,0.7102604,-0.7812901,359.6113,146.6993,316.7093,-0.389,146.699,-43.291,342.661,194.5069,320.7116,-17.339,-165.493,-39.288,3.948253,246.3145,354.5188,3.948,-113.686,-5.481,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,0.7917953,2.841671,-0.8997974,1.26465,-0.5524707,-1.190513,1.079098,-0.4005458,-1.206864,1.060613,-0.4820857,343.0011,91.26191,341.0063,-16.999,91.262,-18.994,330.3938,124.6587,332.3035,-29.606,124.659,-27.697,345.7291,178.8334,339.1362,-14.271,178.833,-20.864,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,0.9063879,3.006927,-0.881187,1.423339,-0.5131488,-1.121346,1.138354,-0.3044631,-1.103126,1.120551,-0.4048097,339.0255,86.40955,351.1468,-20.975,86.41,-8.853001,324.7926,105.7262,334.7171,-35.207,105.726,-25.283,339.3746,162.56,334.1441,-20.625,162.56,-25.856,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.022405,3.12789,-0.9016988,1.532778,-0.4673951,-1.04677,1.174591,-0.2200944,-0.9913256,1.168588,-0.329813,333.4598,88.72442,357.4047,-26.54,88.72401,-2.595,319.4064,89.06743,341.0583,-40.594,89.067,-18.942,330.4904,150.3914,332.4243,-29.51,150.391,-27.576,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.13654,3.289201,-0.9489431,1.652861,-0.3717084,-0.9668768,1.208576,-0.145447,-0.885216,1.215778,-0.2605917,333.8303,93.15932,0.03524714,-26.17,93.159,0.035,314.2366,72.94524,348.9345,-45.763,72.945,-11.066,320.4848,142.3598,331.4374,-39.515,142.36,-28.563,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.249843,3.456078,-0.9965827,1.75052,-0.2451805,-0.8872679,1.238821,-0.08912992,-0.881659,1.21359,-0.1773155,332.5579,93.08739,6.035562,-27.442,93.08701,6.036,306.1008,64.78445,347.9568,-53.899,64.784,-12.043,316.6729,139.0272,322.2962,-43.327,139.027,-37.704,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.362068,3.642207,-1.064491,1.840288,-0.09748454,-0.7992244,1.262919,-0.04833174,-0.7575696,1.236337,-0.140933,334.8747,98.7093,8.00773,-25.125,98.70901,8.008,297.3834,71.78476,335.7241,-62.617,71.785,-24.276,320.3186,144.7269,310.3545,-39.681,144.727,-49.646,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.485986,3.852295,-1.129227,1.89106,0.09397469,-0.7177638,1.295628,-0.0100491,-0.664649,1.257863,-0.09453869,338.4224,113.7345,7.590908,-21.578,113.734,7.591001,290.0196,91.29808,310.7809,-69.98,91.298,-49.219,324.1068,148.1128,296.329,-35.893,148.113,-63.671,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,1.606472,4.029338,-1.154883,1.870471,0.2664898,-0.6647118,1.318961,0.03194535,-0.6087361,1.283657,-0.05358052,337.6594,134.5597,359.9362,-22.341,134.56,-0.064,289.5408,84.45512,317.3671,-70.459,84.455,-42.633,322.1859,144.6604,299.2458,-37.814,144.66,-60.754,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
