userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
Andi,Reflective,Intro,Standup,0.02,1.859297,-1.577079,0.6607612,-0.730206,0,0,0,0,0,0,3.268802,285.0896,0.8031957,3.269,-74.91,0.803,0,0,0,0,0,0,0,0,0,0,0,0,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,0.3965779,1.859336,-1.577053,0.6607417,-0.7302276,-0.7134094,1.34627,0.3561596,-0.634596,1.336317,0.2522629,3.241701,285.089,0.799843,3.242,-74.911,0.8,336.9653,26.258,11.19653,-23.035,26.258,11.197,331.0689,86.0211,1.762046,-28.931,86.021,1.762,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,0.7106093,3.489289,-0.919354,1.763299,0.2378044,-0.7183797,1.310524,0.4071323,-0.6187139,1.318854,0.2575934,8.304411,52.1537,4.998595,8.304001,52.154,4.999,348.2933,43.75948,8.379363,-11.707,43.759,8.379001,339.2746,78.82636,356.892,-20.725,78.826,-3.108,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,0.8519756,3.502716,-0.9114319,1.756959,0.2298804,-0.7324623,1.305734,0.4435697,-0.5811342,1.279846,0.262665,11.6249,54.18689,2.895322,11.625,54.187,2.895,349.9381,47.33811,11.02634,-10.062,47.338,11.026,357.5977,71.78493,353.5005,-2.402,71.785,-6.499,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,0.9844407,3.512164,-0.9100881,1.752799,0.2234283,-0.7403231,1.336381,0.4758191,-0.5502124,1.323477,0.2652445,14.16098,55.84204,2.220991,14.161,55.842,2.221,347.8996,47.24901,8.881577,-12.1,47.249,8.882,350.6212,67.73132,356.9301,-9.379001,67.731,-3.07,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,1.123261,3.518566,-0.9160336,1.752954,0.2241866,-0.7489281,1.394798,0.5039284,-0.539887,1.394606,0.2482212,14.55771,54.45605,2.313872,14.558,54.456,2.314,339.8153,43.69458,10.04744,-20.185,43.695,10.047,327.685,72.36478,0.7388512,-32.315,72.36501,0.739,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,1.253232,3.532906,-0.9295546,1.753711,0.2285565,-0.7625683,1.449059,0.5264915,-0.519357,1.388112,0.2508552,13.74612,49.26627,2.280834,13.746,49.266,2.281,333.1758,39.26547,8.833186,-26.824,39.265,8.833,332.7504,71.61752,356.748,-27.25,71.618,-3.252,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,1.386455,3.553079,-0.9452993,1.754162,0.2404509,-0.7814385,1.496779,0.5393815,-0.5195126,1.386683,0.2545047,13.40966,42.92516,2.192055,13.41,42.925,2.192,324.7927,36.81763,4.963771,-35.207,36.818,4.964,330.4625,76.07048,358.9411,-29.538,76.07001,-1.059,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,1.520969,3.573576,-0.9601227,1.755307,0.2541269,-0.8127029,1.533086,0.5645022,-0.5351342,1.345636,0.2650102,12.61073,37.4628,1.642469,12.611,37.463,1.642,317.2754,31.39102,5.699681,-42.725,31.391,5.7,337.2996,71.1344,359.8087,-22.7,71.134,-0.191,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,1.65493,3.595262,-0.9709983,1.759387,0.2723612,-0.8448424,1.563592,0.600076,-0.5525004,1.310957,0.2540014,11.04299,33.76576,1.802213,11.043,33.766,1.802,312.0681,24.66039,2.871832,-47.932,24.66,2.872,339.4126,71.81553,358.1008,-20.587,71.816,-1.899,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
