userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_12EUidJNpM34h1U,Reflective,Intro,Standup,0.02,1.650514,-0.1573517,1.621655,0.2639524,-0.684,0,0.825,-0.684,0,0.825,345.2218,322.0937,357.6752,-14.778,46.147,-2.325,0,275.947,0,0,0,0,0,275.947,0,0,0,0,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,0.4063919,1.670713,-0.1653687,1.625255,0.2533781,-0.3509343,0.7305411,0.1093842,-0.03745914,0.7284297,0.449916,355.2715,305.503,0.7345837,-4.728,29.556,0.735,40.19115,293.3932,341.2045,40.191,17.446,-18.796,39.14391,324.2011,13.57736,39.144,48.254,13.577,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,0.7586157,1.713283,-0.1621238,1.594121,0.2767189,-0.2957049,0.7084637,0.1552557,-0.111321,0.7373846,0.429328,15.25237,319.82,0.6579182,15.252,43.873,0.6580001,49.31798,337.6729,340.8595,49.318,61.726,-19.141,39.2476,292.2488,17.776,39.248,16.302,17.776,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,0.910087,1.731859,-0.1726605,1.580072,0.2822297,-0.2972559,0.7259301,0.191768,-0.1174184,0.7466662,0.4243053,22.17428,317.521,0.9902778,22.174,41.574,0.9900001,44.59423,344.0847,333.0436,44.594,68.138,-26.956,36.01545,291.2538,14.79014,36.015,15.307,14.79,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.041818,1.76168,-0.1842065,1.555056,0.2931893,-0.3051679,0.7186306,0.1891792,-0.09047973,0.7309058,0.423693,33.66796,317.8871,359.3325,33.668,41.94,-0.6670001,49.19069,343.7516,331.007,49.191,67.805,-28.993,41.76326,298.275,17.46077,41.763,22.328,17.461,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.177998,1.796546,-0.2057566,1.536211,0.3129068,-0.3056733,0.7116625,0.1704602,-0.07855821,0.7295409,0.4127874,40.48544,319.9149,359.2106,40.485,43.968,-0.789,48.71687,339.7188,331.7871,48.717,63.772,-28.213,42.71816,303.1483,15.83193,42.718,27.201,15.832,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.31059,1.837814,-0.2345982,1.513349,0.3313994,-0.3114367,0.7093519,0.1439427,-0.06546307,0.7318221,0.4018329,47.74181,321.3294,359.4482,47.742,45.382,-0.552,49.0999,330.3177,331.9463,49.1,54.371,-28.054,41.00105,309.0467,20.48427,41.001,33.1,20.484,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.440628,1.868231,-0.2575636,1.49625,0.3410994,-0.310123,0.7015043,0.114746,-0.05084169,0.7254461,0.3791454,50.83781,322.9985,0.07766891,50.838,47.052,0.078,52.89833,325.4575,335.3762,52.898,49.51,-24.624,43.97226,311.8616,21.72496,43.972,35.915,21.725,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.567324,1.894636,-0.2683656,1.472752,0.3418694,-0.3125195,0.6968303,0.09488684,-0.0434168,0.7215209,0.3674113,57.3121,323.8497,359.5756,57.312,47.903,-0.424,55.05037,324.6321,335.8657,55.05,48.685,-24.134,45.31153,317.0445,22.51424,45.312,41.097,22.514,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_12EUidJNpM34h1U,Reflective,Intro,Standup,1.688479,1.914151,-0.2612467,1.455731,0.3415316,-0.3202058,0.6977025,0.08852524,-0.04670787,0.7246746,0.3551033,61.60568,328.9182,359.4375,61.606,52.971,-0.563,54.30364,328.0387,336.1203,54.304,52.092,-23.88,43.2103,318.5894,22.7408,43.21,42.642,22.741,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
