userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,0.02,1.647163,0.02425736,1.618798,0.3033997,-0.684,0,0.825,-0.684,0,0.825,6.97146,308.9658,2.095199,6.971,33.019,2.095,0,275.947,0,0,0,0,0,275.947,0,0,0,0,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,0.4459038,1.819334,0.1051629,1.61753,0.4552657,-0.1569616,0.8151169,0.4439928,0.05494684,0.7890974,0.6753623,10.73126,343.265,354.9286,10.731,67.318,-5.071,23.17307,354.3109,331.9367,23.173,78.36401,-28.063,14.37562,306.1518,17.09189,14.376,30.205,17.092,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,0.7520939,1.887492,0.1261871,1.602858,0.4978717,-0.1545943,0.8169203,0.4820893,0.1316939,0.7745163,0.6868607,14.34131,336.9007,357.104,14.341,60.954,-2.896,22.23314,356.124,331.5048,22.233,80.177,-28.495,18.14903,314.0431,18.6572,18.149,38.096,18.657,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,0.8903447,1.903721,0.1117578,1.600903,0.4917504,-0.1227288,0.7997885,0.4703394,0.1542127,0.7817357,0.7064245,16.59537,333.2225,357.9079,16.595,57.276,-2.092,27.25748,7.478417,333.913,27.257,91.53101,-26.087,17.05088,322.3452,19.22347,17.051,46.398,19.223,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.018204,1.924274,0.09264135,1.596317,0.4863381,-0.1340499,0.8066189,0.4777964,0.1554767,0.7838935,0.7047235,19.0501,328.8012,359.3397,19.05,52.854,-0.66,24.88684,4.878083,333.7304,24.887,88.93101,-26.27,16.34605,325.5081,18.55368,16.346,49.561,18.554,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.142819,1.932556,0.08576608,1.593371,0.4828488,-0.1366097,0.8006251,0.4716921,0.1354535,0.7810149,0.6871541,20.81725,327.9437,359.6797,20.817,51.997,-0.32,26.90098,2.097053,335.6991,26.901,86.15,-24.301,17.0112,319.2437,19.49467,17.011,43.297,19.495,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.271872,1.941151,0.07866412,1.589208,0.4815361,-0.1351053,0.7993091,0.4660863,0.1143223,0.7865094,0.6861994,22.41825,325.2067,0.5242897,22.418,49.26,0.524,26.06646,359.1353,336.6027,26.066,83.188,-23.397,15.97739,316.7433,18.57133,15.977,40.796,18.571,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.390591,1.953829,0.07101041,1.579144,0.4817444,-0.1332495,0.8004624,0.4631826,0.09587419,0.7903005,0.686853,26.04139,320.9773,0.7855334,26.041,45.03,0.786,25.24267,357.2076,336.9053,25.243,81.261,-23.095,14.95671,311.8018,19.16762,14.957,35.855,19.168,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.529281,1.972578,0.06004369,1.564116,0.4799134,-0.1424087,0.8086351,0.4581104,0.09022057,0.7896101,0.6965203,33.38173,314.4455,359.7307,33.382,38.498,-0.269,22.85584,350.6684,338.1459,22.856,74.721,-21.854,15.51367,310.1298,20.57164,15.514,34.183,20.572,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2aKNAIfV8HVcNlC,Reflective,Intro,Standup,1.66535,1.990657,0.05369669,1.547501,0.4812327,-0.1468565,0.8068707,0.4463343,0.08514988,0.799041,0.7098554,40.19494,311.2339,359.6458,40.195,35.287,-0.354,23.18605,348.1427,337.5555,23.186,72.19601,-22.445,13.7344,311.9649,17.39763,13.734,36.018,17.398,1,411.6494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
