userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,0.02,1.726744,-0.3827872,1.469821,0.8214282,-0.684,0,0.825,-0.684,0,0.825,37.65594,303.1451,357.6551,37.656,27.198,-2.345,0,275.947,0,0,0,0,0,275.947,0,0,0,0,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,0.3985639,1.89606,-0.5263823,1.558191,0.8075912,-0.7289734,1.191748,0.7375384,-0.74014,1.191023,0.8699584,354.5284,272.419,359.8261,-5.472,-3.528,-0.174,317.2686,256.2672,21.37579,-42.731,-19.68,21.376,315.501,277.4036,341.591,-44.499,1.457,-18.409,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,0.7095202,1.923082,-0.5243205,1.552463,0.7823913,-0.7324392,1.19054,0.7360662,-0.7405862,1.190946,0.8723885,356.6324,271.8338,0.682815,-3.368,-4.113,0.683,316.7006,257.0723,21.22397,-43.299,-18.875,21.224,315.3946,278.453,342.2981,-44.605,2.506,-17.702,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,0.8216136,1.923903,-0.5249602,1.552519,0.7824147,-0.7344167,1.188981,0.7388895,-0.74186,1.190397,0.8746898,356.5085,272.496,0.881902,-3.491,-3.451,0.882,317.0198,257.5439,21.14876,-42.98,-18.403,21.149,315.4174,278.2586,343.219,-44.583,2.312,-16.781,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,0.9451079,1.925011,-0.5249348,1.552782,0.7832156,-0.7354366,1.188108,0.7406784,-0.7433676,1.190476,0.8785032,356.1491,273.1505,0.9630412,-3.851,-2.797,0.9630001,317.1537,258.2461,20.58256,-42.846,-17.701,20.583,315.4517,278.9132,343.4445,-44.548,2.966,-16.555,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,1.055619,1.926653,-0.524467,1.552849,0.7846886,-0.7385514,1.188757,0.7397959,-0.7524897,1.193611,0.8876461,355.878,274.0304,0.8181984,-4.122,-1.917,0.818,316.626,258.7442,19.22345,-43.374,-17.203,19.223,314.2578,278.2653,346.4792,-45.742,2.318,-13.521,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,1.167602,1.930715,-0.5207814,1.552724,0.7859575,-0.7582047,1.20035,0.7334716,-0.7900694,1.214858,0.9182009,355.7989,275.3614,0.6040906,-4.201,-0.586,0.604,313.8139,260.8652,15.11539,-46.186,-15.082,15.115,311.2871,278.3842,353.0839,-48.713,2.437,-6.916,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,1.281005,1.940409,-0.5112397,1.551224,0.7859553,-0.812021,1.221244,0.7294983,-0.8488253,1.252796,0.9563074,356.4701,276.6618,0.3955085,-3.53,0.715,0.396,312.7931,266.5854,7.680778,-47.207,-9.362,7.681,308.3768,282.2426,357.0977,-51.623,6.296,-2.902,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,1.390514,1.953136,-0.4986117,1.549982,0.785871,-0.8806818,1.246543,0.7279581,-0.9157834,1.281204,0.9883091,356.6452,278.5029,0.1579944,-3.355,2.556,0.158,314.051,267.3311,5.94474,-45.949,-8.616,5.945,310.822,287.8056,359.9788,-49.178,11.859,-0.021,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_R2gwqmgo2hiM0ed,Reflective,Main,Standup,1.50208,1.965198,-0.487206,1.547258,0.7837883,-0.9390817,1.266943,0.7356124,-0.9611351,1.293007,1.00356,357.2572,280.1407,0.3809098,-2.743,4.194,0.381,315.9665,268.5285,1.630112,-44.033,-7.418,1.63,314.2759,287.9866,4.624095,-45.724,12.04,4.624,1,396.9207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
