userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,0.02,1.695709,-1.264092,1.047817,-0.4237668,-0.7339069,0,-0.5846611,-0.7339069,0,-0.5846611,32.76973,83.45036,355.4477,32.77,-7.125,-4.552,0,90.575,0,0,0,0,0,90.575,0,0,0,0,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,0.4172381,1.791567,-1.278299,1.142416,-0.4257683,-0.922923,0.7892652,-0.1988675,-0.9476733,0.8558046,-0.5430548,334.8013,78.96501,359.8311,-25.199,-11.61,-0.169,332.9747,62.29664,359.4019,-27.025,-28.278,-0.598,328.1978,100.6629,0.4152027,-31.802,10.088,0.415,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,0.7732097,1.839445,-1.297812,1.133645,-0.3869443,-0.9229835,0.7903389,-0.1944659,-0.947077,0.8540102,-0.5405043,340.9394,50.99195,2.492863,-19.061,-39.583,2.493,333.0909,61.43814,359.7535,-26.909,-29.137,-0.246,328.4281,100.2299,0.7057551,-31.572,9.655001,0.706,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,0.9137472,1.849922,-1.295316,1.127366,-0.3948515,-0.92259,0.7899277,-0.1966818,-0.946339,0.8534121,-0.5407951,344.8936,56.23673,0.7468485,-15.106,-34.338,0.747,333.2415,61.62182,359.6984,-26.759,-28.953,-0.302,328.4556,100.224,0.7347379,-31.544,9.649,0.735,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.056199,1.877698,-1.292782,1.106958,-0.413389,-0.9221963,0.7893838,-0.1977616,-0.9458283,0.852231,-0.5400393,358.5193,71.52906,359.1177,-1.481,-19.046,-0.882,333.3973,61.60594,359.5434,-26.603,-28.969,-0.457,328.658,99.97469,0.881539,-31.342,9.400001,0.882,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.196425,1.890694,-1.292485,1.09934,-0.4234468,-0.9247914,0.7945094,-0.2005331,-0.9480149,0.8543383,-0.540767,3.556158,78.44402,358.6855,3.556,-12.131,-1.314,332.6603,61.88244,0.04716086,-27.34,-28.693,0.047,328.1353,100.1771,0.7704082,-31.865,9.602,0.77,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.331873,1.896816,-1.290846,1.099565,-0.4289597,-0.9240044,0.7934518,-0.2003677,-0.9465709,0.8536499,-0.5413063,3.850856,81.94396,358.3594,3.851,-8.631001,-1.641,332.8736,61.87296,0.01905733,-27.126,-28.702,0.019,328.3332,100.309,0.7082876,-31.667,9.734,0.708,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.491398,1.90098,-1.2878,1.099702,-0.4314142,-0.9236988,0.792411,-0.1994389,-0.9457263,0.8525956,-0.541482,4.228837,83.05102,358.0663,4.229,-7.524,-1.934,333.086,61.83055,359.884,-26.914,-28.744,-0.116,328.5435,100.3025,0.8801035,-31.457,9.727,0.8800001,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.623486,1.906953,-1.285789,1.098381,-0.4366902,-0.9238806,0.7927883,-0.2008912,-0.9462514,0.8534629,-0.5425864,4.746312,89.71161,359.1085,4.746,-0.863,-0.892,333.17,62.09868,359.9607,-26.83,-28.476,-0.039,328.2196,100.5224,0.8901459,-31.78,9.947001,0.89,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.78887,1.913177,-1.29044,1.099657,-0.43505,-0.9227091,0.7949091,-0.2015361,-0.9474708,0.8529616,-0.5431954,4.547882,93.09841,358.6389,4.548,2.523,-1.361,333.218,62.39866,0.8732108,-26.782,-28.176,0.873,326.5759,100.6025,1.733138,-33.424,10.028,1.733,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,1.953994,1.922796,-1.299353,1.097117,-0.4334833,-0.9244211,0.801212,-0.2038186,-0.959106,0.8572388,-0.5543476,5.712224,93.82226,358.3362,5.712,3.247,-1.664,331.8111,63.02277,3.951428,-28.189,-27.552,3.951,302.8967,106.3941,355.892,-57.103,15.819,-4.108,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.093941,1.932913,-1.309026,1.097937,-0.4309492,-0.929595,0.7956705,-0.2123365,-0.9234899,0.8125162,-0.5774201,5.969888,90.7448,357.8731,5.97,0.17,-2.127,330.617,64.73794,10.68942,-29.383,-25.837,10.689,313.1608,104.2874,2.163493,-46.839,13.712,2.163,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.259062,1.937548,-1.312851,1.09603,-0.4313595,-0.9342146,0.7969102,-0.2331834,-0.9263088,0.814605,-0.5758901,6.149038,87.0237,357.8842,6.149,-3.551,-2.116,323.4053,67.89646,2.468519,-36.595,-22.679,2.469,313.2402,102.8461,1.291656,-46.76,12.271,1.292,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.413855,1.947468,-1.306351,1.102587,-0.4285254,-0.9309115,0.7970184,-0.2322068,-0.9151001,0.8057396,-0.5874008,2.719618,83.79773,357.5667,2.72,-6.777,-2.433,323.2128,66.49814,1.72624,-36.787,-24.077,1.726,317.3974,104.6916,0.3370312,-42.603,14.117,0.337,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.549949,1.96351,-1.300936,1.115791,-0.4220644,-0.9201101,0.7885715,-0.211376,-0.8992167,0.7907999,-0.6079929,355.2799,76.27814,357.3369,-4.72,-14.297,-2.663,336.0356,62.42754,4.977147,-23.964,-28.147,4.977,323.9392,108.5442,357.8913,-36.061,17.969,-2.109,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.705843,1.977114,-1.311544,1.120006,-0.4255313,-0.9200018,0.7817615,-0.1978058,-0.8925933,0.7964933,-0.6131209,352.6267,73.10976,358.1079,-7.373,-17.465,-1.892,339.5131,58.28263,3.585907,-20.487,-32.292,3.586,322.7247,109.8174,356.9476,-37.275,19.242,-3.052,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.844728,1.993285,-1.323936,1.116279,-0.4350963,-0.9311972,0.7876387,-0.2002369,-0.8930813,0.8022854,-0.6057596,353.6078,73.80161,357.9677,-6.392,-16.773,-2.032,337.2217,61.00745,2.327124,-22.778,-29.568,2.327,320.9497,107.6283,356.9044,-39.05,17.053,-3.096,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,2.992727,2.009357,-1.335611,1.114044,-0.4456615,-0.9445843,0.7994419,-0.2036131,-0.8958634,0.8098344,-0.6037097,354.4118,74.39787,357.3882,-5.588,-16.177,-2.612,335.2807,62.87268,1.639414,-24.719,-27.702,1.639,319.4902,106.733,356.2012,-40.51,16.158,-3.799,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.153671,2.020268,-1.331494,1.111074,-0.4543503,-0.9521068,0.8049803,-0.1990182,-0.8903406,0.8102323,-0.6077517,355.2506,74.2261,356.2399,-4.749,-16.349,-3.76,333.7473,60.23483,0.7638035,-26.253,-30.34,0.7640001,319.6371,107.2217,355.5928,-40.363,16.647,-4.407,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.289301,2.053198,-1.315324,1.106982,-0.482491,-0.9580824,0.7923052,-0.1779315,-0.8830301,0.8078509,-0.6149917,356.0602,74.00526,352.3101,-3.94,-16.57,-7.690001,332.9016,57.62766,0.005057087,-27.098,-32.947,0.005,319.5686,107.1854,354.1784,-40.431,16.61,-5.822001,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.420684,2.099259,-1.287908,1.106173,-0.5194502,-0.9650328,0.7749722,-0.1799043,-0.8743288,0.8108782,-0.6195285,355.6092,72.18562,353.0033,-4.391,-18.389,-6.997,335.2599,54.883,358.7152,-24.74,-35.692,-1.285,318.1483,103.6917,354.1614,-41.852,13.117,-5.839,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.552959,2.140182,-1.264017,1.105283,-0.5526541,-0.9751066,0.772211,-0.1852694,-0.861506,0.8121353,-0.6256655,355.1581,67.72236,352.8169,-4.842,-22.853,-7.183001,336.3371,52.47201,355.9399,-23.663,-38.103,-4.06,318.0567,100.4101,353.5121,-41.943,9.835,-6.488,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.685604,2.16638,-1.250418,1.102352,-0.5748001,-0.9873296,0.7752214,-0.1850844,-0.8466467,0.8178128,-0.6348061,355.3322,64.81824,352.3698,-4.668,-25.757,-7.630001,335.9514,48.18083,355.8876,-24.049,-42.394,-4.112,317.9866,101.0675,350.508,-42.013,10.493,-9.492001,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.820763,2.176471,-1.244354,1.100776,-0.5820752,-0.9908907,0.7746257,-0.1892849,-0.8318776,0.8175061,-0.6393999,355.8373,63.79481,351.5291,-4.163,-26.78,-8.471001,336.215,47.90059,354.5231,-23.785,-42.674,-5.477,319.3359,102.0555,348.7834,-40.664,11.481,-11.217,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,3.952066,2.191717,-1.247701,1.106078,-0.5685982,-0.9946834,0.7802814,-0.1820491,-0.826637,0.8173105,-0.629178,355.4978,65.29427,352.6451,-4.502,-25.281,-7.355,335.3828,47.40959,354.7267,-24.617,-43.165,-5.273,318.8961,100.1885,351.5595,-41.104,9.614,-8.441,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.090984,2.233876,-1.271493,1.1122,-0.5346646,-0.9947886,0.7787853,-0.1664321,-0.8305106,0.8133804,-0.6145471,355.9534,68.1618,355.5034,-4.047,-22.413,-4.497,335.0331,47.36015,356.1875,-24.967,-43.215,-3.812,318.3093,96.50128,354.9203,-41.691,5.926,-5.08,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.22401,2.283886,-1.300633,1.111044,-0.4941277,-0.9874792,0.7789177,-0.1586479,-0.8400216,0.8093229,-0.6138016,356.4561,70.15614,356.9449,-3.544,-20.419,-3.055,334.6487,49.30659,357.585,-25.351,-41.268,-2.415,318.7646,97.10737,355.8176,-41.235,6.532001,-4.182,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.359142,2.316668,-1.319352,1.107427,-0.4674918,-0.9797797,0.7882388,-0.1598893,-0.8610283,0.8128047,-0.6189152,357.3416,74.34743,356.6899,-2.658,-16.228,-3.31,333.0046,52.8952,359.9263,-26.995,-37.68,-0.074,317.7977,98.44411,356.8469,-42.202,7.869,-3.153,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.492303,2.330996,-1.327393,1.107767,-0.4556731,-0.9687697,0.7938647,-0.1589122,-0.8755502,0.8059661,-0.6267167,356.7802,78.06996,356.8647,-3.22,-12.505,-3.135,332.8257,55.36344,359.9018,-27.174,-35.212,-0.098,318.6391,99.07068,359.0412,-41.361,8.496,-0.9590001,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.62534,2.33531,-1.32604,1.110021,-0.4544635,-0.9619527,0.7970798,-0.1627801,-0.8825666,0.7940667,-0.6363139,355.8055,80.05209,356.6945,-4.194,-10.523,-3.305,332.7467,55.35062,1.012886,-27.253,-35.224,1.013,320.8258,99.54315,0.6201821,-39.174,8.968,0.62,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.758283,2.338945,-1.326005,1.112941,-0.4552721,-0.9597247,0.7843384,-0.1762676,-0.889485,0.7908968,-0.6419827,353.7094,81.47953,356.7355,-6.291,-9.095,-3.265,333.7982,59.04908,359.2516,-26.202,-31.526,-0.748,320.709,99.81789,1.479155,-39.291,9.243,1.479,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,4.918355,2.346559,-1.330108,1.119059,-0.4556329,-0.9589896,0.7805629,-0.1773302,-0.8921085,0.7889493,-0.6398584,349.5052,82.3241,356.7434,-10.495,-8.251,-3.257,334.4629,59.2995,359.6223,-25.537,-31.276,-0.378,320.8497,98.39941,1.469801,-39.15,7.824,1.47,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,5.049763,2.349021,-1.331954,1.118019,-0.4562683,-0.9594629,0.779215,-0.1769201,-0.8909059,0.7839583,-0.6311532,349.6199,82.11497,356.7208,-10.38,-8.46,-3.279,334.4486,59.19803,359.2505,-25.551,-31.377,-0.749,321.2631,96.98292,0.8946236,-38.737,6.408,0.895,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,5.188695,2.350766,-1.330871,1.117633,-0.4569297,-0.9611076,0.7792516,-0.1744412,-0.8953366,0.7820421,-0.6113059,350.3459,81.6086,357.1649,-9.654,-8.966001,-2.835,334.5416,58.47097,359.6076,-25.458,-32.104,-0.392,319.8207,92.66454,1.308631,-40.179,2.09,1.309,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_2ZE8aea9YOiaqKf,Reflective,Main,Tabletop,5.322031,2.35722,-1.327598,1.114781,-0.4613963,-0.961143,0.777504,-0.1735812,-0.9002776,0.7784966,-0.5908624,352.1536,84.19685,357.0322,-7.846,-6.378,-2.968,334.6958,58.42101,359.3933,-25.304,-32.154,-0.6070001,318.5005,88.63895,1.113496,-41.5,-1.936,1.113,1,515.5787,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
