userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,0.02,1.557236,-0.9651064,1.108532,-0.5145008,-0.7339069,0,-0.5846611,-0.7339069,0,-0.5846611,351.054,64.98651,2.939231,-8.946,-25.588,2.939,0,90.575,0,0,0,0,0,90.575,0,0,0,0,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,0.4145241,1.587172,-0.9531803,1.095561,-0.5380218,-0.7084163,0.774774,-0.2932965,-0.6304763,0.8740879,-0.5363581,352.8425,71.37728,355.6227,-7.157001,-19.198,-4.377,302.6342,75.42475,353.9813,-57.366,-15.15,-6.019,318.3917,58.40406,18.10458,-41.608,-32.171,18.105,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,0.5439221,1.595227,-0.9530503,1.09978,-0.5314171,-0.7095025,0.7747519,-0.2906129,-0.6308658,0.8738694,-0.5328833,354.7648,69.86076,357.6553,-5.235,-20.714,-2.345,302.6433,74.68695,354.1599,-57.357,-15.888,-5.84,318.4745,57.59899,18.31037,-41.526,-32.976,18.31,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,0.8385342,1.602078,-0.9534667,1.098548,-0.5249204,-0.7106522,0.7735847,-0.2880131,-0.6327873,0.8721595,-0.5263031,357.4888,65.70605,359.1907,-2.511,-24.869,-0.809,302.9906,74.39968,353.6996,-57.009,-16.175,-6.3,319.0598,55.93606,18.78226,-40.94,-34.639,18.782,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,0.9632253,1.607214,-0.9558305,1.098882,-0.5204973,-0.7104033,0.7727594,-0.287629,-0.6330591,0.8720311,-0.5261708,358.3585,63.03618,359.8757,-1.642,-27.539,-0.124,302.8812,74.41228,353.2762,-57.119,-16.163,-6.724,319.0959,55.91662,18.68175,-40.904,-34.658,18.682,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,1.097675,1.616909,-0.9632241,1.100956,-0.5149677,-0.7097167,0.7721333,-0.2865542,-0.6347347,0.8741102,-0.5267106,358.5097,59.19997,0.2358939,-1.49,-31.375,0.236,302.7853,74.04288,353.2089,-57.215,-16.532,-6.791,318.7485,55.82548,18.68488,-41.252,-34.75,18.685,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,1.225364,1.635519,-0.9803453,1.106994,-0.5122625,-0.7089934,0.7706396,-0.2857895,-0.6373629,0.8797011,-0.5289553,358.9715,55.13383,359.9695,-1.028,-35.441,-0.031,302.13,74.75249,350.9964,-57.87,-15.823,-9.004001,318.0499,56.05782,18.15646,-41.95,-34.517,18.156,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,1.366748,1.659828,-1.002852,1.111614,-0.5185544,-0.7089744,0.7687023,-0.2883231,-0.6429411,0.8901551,-0.5345302,357.7137,56.29759,0.5568148,-2.286,-34.277,0.557,301.1845,77.86659,345.6861,-58.815,-12.708,-14.314,316.3855,56.94762,17.31266,-43.615,-33.627,17.313,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,1.497455,1.680384,-1.021315,1.104354,-0.5229128,-0.7106477,0.7674899,-0.2930588,-0.6540782,0.900161,-0.538643,2.124008,58.02741,1.436871,2.124,-32.548,1.437,300.6008,81.73437,340.5757,-59.399,-8.841001,-19.424,314.733,57.42204,16.6255,-45.267,-33.153,16.625,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_3n1xfWRwPmpvbQK,Reflective,Intro,Tabletop,1.614579,1.691581,-1.029378,1.097157,-0.5205597,-0.714139,0.768945,-0.296294,-0.6667578,0.9065823,-0.5403221,6.014007,56.76275,1.603695,6.014,-33.812,1.604,299.7149,83.25938,338.466,-60.285,-7.316,-21.534,313.5855,57.05579,16.24361,-46.415,-33.519,16.244,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
